;Label
Feedback scores are calculated as the total of positive ratings from unique trading partners minus the total of negative ratings from unique trading partners.;Dependency
For stocks traded on public stock exchanges, supply and demand for the company’s shares are a main component in determining the stock’s price at any point in the trading day.;Dependency
Demand is based on the number of traders and investors looking to buy shares.;Dependency
As far as the supply side, this represents the number of the company’s shares that are available to buy and sell.;Dependency
The amount of working capital a small business needs to run smoothly depends largely on the type of business, its operating cycle, and management goals.;Dependency
The specific goals of the business owners is another important factor that determines the amount of working capital required by a small business.;Dependency
Your credit score, your home location, and your down payment are all factors that can affect your interest rate.;Dependency
Lenders use your credit scores to predict how reliable you’ll be in paying your loan.;Dependency
Credit scores are calculated based on the information in your credit report, which includes your loans, credit cards, and payment history.;Dependency
Rates can also be significantly different depending on what loan type you choose.;Dependency
Your doctor determines your breast cancer treatment options based on your type of breast cancer, its stage and grade, size, and whether the cancer cells are sensitive to hormones.;Dependency
Complications of breast cancer surgery depend on the procedures you choose.;Dependency
The company's policy can impact the income stream for investors and the profitability of the company.;Dependency
Specifically, you are entitled to an integration income depending on three particular circumstances: being your level of the local language, your occupation and your age.;Dependency
The physical health score is determined from the physical fitness score, BMI based health risk level and healthiness of senses.;Dependency
Physical fitness score is calculated from the sex of a patient and results of various tests such as strength test, coordination test, agility test, stamina test and speed test.;Dependency
The patient’s risk level should be assessed by determining the level of obesity based on BMI value, also on the waist circumference. ;Dependency
Furthermore, the obesity level or degree of overweight should be assessed by the BMI value and sex of the patient.;Dependency
Patient’s height and weight are considered to calculate his BMI value.  ;Dependency
The healthiness of the senses is calculated from the results of eye and hearing tests.;Dependency
Health evaluation also depends on the score of Mental health, which is determined from the EQ test result and the IQ test score. ;Dependency
An IQ of a patient is assessed from testing his verbal, math and abstract levels.;Dependency
The risk of developing TB depends on the strength of your immune system and whether you’ve been recently infected with TB bacteria.;Dependency
Several health conditions, your lifestyle, your age and family history can increase your risk for heart disease.;Dependency
People with health conditions such as high blood pressure, unhealthy cholesterol levels, or obesity experience a higher risk of heart disease.;Dependency
Genetic factors likely play some role in high blood pressure and heart disease.;Dependency
The risk for heart disease is significantly influenced by your age.;Dependency
The period in which a person will get vaccinated is determined by the number of available doses and the person’s assigned group. ;Dependency
The population is divided into three groups depending on their vulnerability, exposure, medical risks and age.;Dependency
The vaccination period in which you can get tested depends on your country’s testing capacity and your risk of infection.;Dependency
Antibody tests can tell us whether someone has had an infection in the past, even if they have not had symptoms.;Dependency
Accurate real estate valuations can help investors make better decisions when it comes to buying and selling properties.;Dependency
Determining the capitalization rate is one of the key metrics used to value an income-generating property. ;Dependency
Absolute valuation models determine the present value of future incoming cash flows to obtain the intrinsic value of an asset.;Dependency
Operating expenses include those that are directly incurred through the day-to-day operations of the building, such as property insurance, management fees, maintenance fees, and utility costs.;Dependency
The next step to assess the value of the real estate property is to determine the gross income multiplier and multiply it by the gross annual income, which is based on historical sales data.;Dependency
Real estate valuation is often based on strategies that are similar to equity analysis,such as the discounted NOI and gross income multiplier approach.;Dependency
The net operating income (NOI) formula calculates a company's income after operating expenses are deducted. ;Dependency
The bonus is calculated based on your employment during the previous calendar year.;Dependency
The admissions officer reads the motivation letters and assigns a score to it.;Dependency
Based on the collected information, the Intelligent Admission Application System classifies the candidates into inacceptable, medium or top candidates.;Dependency
Acceptable candidates receive a preference score depending on GPA and letter score. ;Dependency
After the ranking run, the system produces the list of acceptable candidates according to their preference score and with the indication of scholarship (Y/N). ;Dependency
The employee bonus is assessed from a scoring.;Dependency
To assess whether an employee gets a bonus, the HR department needs to give a score.;Dependency
To assess the employee bonus, the HR department needs to give a score.;Dependency
Furthermore, the meal we have is influenced by the weather.;Dependency
To establish the customer profile, we need information about previously watched movies.  ;Dependency
Before displaying a price, the system looks at whether the account holder is a rewards member. ;Dependency
Furthermore a driver premium is determined based on age.;Dependency
A client’s creditworthiness is ascertained by evaluating and verifying the information provided by the client.;Dependency
When preparing for differential diagnosis, a doctor will need to take a person’s full medical history into account.;Dependency
The differential diagnosis made by a doctor is based on the patient’s full medical history.;Dependency
Figuring out your total daily energy expenditure begins with calculating your BMR.;Dependency
Basal metabolic rate refers to the number of calories your body burns each day to keep you alive.;Dependency
NEAT can play a rather large or small role in your overall TDEE depending on how physically active your job or daily happenings are. ;Dependency
One way of checking physical activity intensity is to determine whether your pulse or heart rate is within the target zone during physical activity.;Dependency
Your shipping fees when buying items from a seller on Amazon.com depend on the type of product you purchase.;Dependency
For buyers within the United States, shipping charges and options vary according to the product being purchased, and are listed in the chart below unless otherwise noted in the seller's policies.;Dependency
Rates increase, or vary, from the base rate depending on the items in the cart.;Dependency
The performance score is calculated from the KPI data and the project data. ;Dependency
The personal score will depend on the KPI Data and the Project Data. ;Dependency
What we will drink tonight is determined by two factors: the meal of the evening and the age of the guests.;Dependency
The drink tonight is determined by two factors: the meal of the evening and the age of the guests.;Dependency
To decide on what we drink tonight we first want to know what we will have for dinner and how old the guests are. ;Dependency
To decide on the drink of tonight we first want to know the dinner of tonight and the age of the guests. ;Dependency
To decide on which movie is recommended to a customer, we look at 2 main items, these are the customer profile and the time of the year.;Dependency
A company often wants to calculate how much time off employees have aggregated through the years, therefor it needs to know how long the employee works at their company, the number of days of vacation it already has taken and the number of vacation days the company awards employees. ;Dependency
As an employee and a company you can be interested in the amount of vacation days you have accumulated over the years, this is determined by the number of vacation days you already took and by the vacation days given to you by the company.;Dependency
Moreover, the number of vacation days awarded to you is determined by the period you have been working at the company and your function.;Dependency
The end of the year premium can consist of a combination of the following premiums: the anciennity premium, the presence premium, the productivity premium.;Dependency
In a car rental company, a rental is offered or refused depending on age eligibility, drop-off validity and availability of the requested vehicle. ;Dependency
The menu will depend on the day of the week, and the current weather.;Dependency
In the following fragment, car insurance cost will be specified depending on the person's age and whether the person was involved in an accident in the past.;Dependency
A very important part of preparing the loan file is determining the most appropriate loan terms and conditions.;Dependency
A farmer’s loan file is determined by the most appropriate loan terms and conditions.;Dependency
The credit analyst makes a final decision based on the reports and issues at hand.;Dependency
The medical history is based on what symptoms the patient experiences, for how long and if any conditions run in the family.;Dependency
The medical history includes the symptoms the patient experiences, and for how long and if any conditions run in the family.;Dependency
A doctor is able to generate an idea of what may be causing a patient’s symptoms by evaluating the patient’s medical history and performing a physical examination.;Dependency
In order to decide on the routing of an application, the eligibility and application risk are determined.;Dependency
The application risk of a client is assessed by the predicted score of the application risk score model and the application risk category table.;Dependency
The routing of an application is defined by the eligibility and application risk.;Dependency
The application risk of a client is assessed by the application risk score model and the application risk category table.;Dependency
The overall quality of life is concerned with both the quality of life and the health related quality of life.;Dependency
The health status refers to patients' symptoms, functional status, and quality of life.;Dependency
The pre-selection decision for an internship at the European commision is ascertained by your university degree, languages and prior employment.;Dependency
The borrower’s attributes include the relationship with the bank, the firm size, value of collateral, related business experience, and the share of investment.;Dependency
The lender’s human capital, on the other hand, includes education, banking experience, lending experience and the exposure to SME loans.;Dependency
To decide whether a client is eligible for credit, the health risk and financial risk of the client need to be evaluated.;Dependency
First, the health risk is ascertained by taking into account the client’s medical history, smoking habits, and lifestyle.;Dependency
Second, the financial risk is based on the salary of the client and whether the client is a homeowner or not.;Dependency
To decide whether a client is eligible for credit, the health risk, the financial risk, and the employment of the client need to be evaluated.;Dependency
First, the health risk evaluation requires the client’s medical history, smoking habits, and lifestyle.;Dependency
Whether or not a loan is granted to a borrower, is determined by the following factors: the borrower’s reputation, the borrower’s financial condition, future prospects and firm ability.  ;Dependency
To decide on whether or not to approve a loan for a SME, the borrower’s attributes and the lender’s human capital is taken into account.;Dependency
The borrower’s attributes refer to the relationship with the bank, the firm size, value of collateral, related business experience, and the share of investment.;Dependency
The borrower’s attributes are defined as the borrower's relationship with the bank and the firm size.;Dependency
The lender’s human capital, on the other hand, refers to the education, banking experience, lending experience and the exposure to SME loans.;Dependency
In order to decide on the approval of a loan for a SME, both the borrower’s attributes and the lender’s human capital are taken into account.;Dependency
To define which passengers are eligible to upgrade to Business or First class, the system evaluates the number of flights of a customer and the degree to which the economy cabin is overbooked.;Dependency
To calculate the eligibility, we combine the information from the application form with the client’s score.;Dependency
The total price depends on the unit price, the number of units purchased and the discount policy.;Dependency
The amount of water that a plant needs, depends on the plant's size, environment, and origin.;Dependency
The amount of water that a plant needs is influenced by the plant's size, environment, and origin.;Dependency
The application risk of a client is assessed by benchmarking the application risk score, which is predicted through the application risk score model, against the application risk category table.;Dependency
The approval decision of an unemployment benefit is based on one or more of the following criteria: the citizen’s nationality, the employment period, the employment type, the validation of the ID card, the physical test result, and also the health condition of the applicant.;Dependency
Here the decision of loan granting depends on the following factors: the borrower’s reputation, the borrower’s financial condition, future prospects, firm ability and management experience, capital, firms prospects.;Dependency
The decision of loan approval for a SME requires information about the borrower’s attributes and the lender’s human capital.;Dependency
The borrower’s attributes consist of the relationship with the bank, firm size, value of collateral, related business experience, and share of investment.;Dependency
The lender’s human capital consists of education, banking experience, lending experience and exposure to SME loans.;Dependency
The pre-selection decision for an internship at the European commision is based on your university degree, languages and prior employment.;Dependency
To decide which students are invited for the interview process, we consider your educational background, your professional experience and your international exposure, as well as your essays and recommendation letters.;Dependency
Each member of the jury will assign a score, by fully reviewing your application, including your essays, your letters of recommendation and the notes taken by our interviewers.;Dependency
The credit analyst bases its final decision on the reports and issues at hand.;Dependency
"Issues eligible for consideration consist of; the financial history of the client, the timeliness of payments, the amount of income generated by the client, and the potential of similar businesses in the same location.";Dependency
A client’s creditworthiness is based on the information that the client provided.;Dependency
In order to assess the credit health of the borrower, the lender requests credit reports from credit agencies.;Dependency
Whether an unemployment benefit is approved or not, depends on a citizen’s nationality, the employment period and employment type, the validation of the ID card, the physical test result, and also the citizen’s health condition.;Dependency
The health condition itself is ascertained by physical and psychological tests.;Dependency
In a car rental company, the decision to offer or refuse a rental depends on age eligibility, drop-off validity and availability of the requested vehicle.;Dependency
The end of year premium is influenced by (a combination of) the following premiums: the anciennity premium, the presence premium, the productivity premium.;Dependency
The actual heart rate can vary quite a bit depending on age and physical condition.  ;Dependency
The number of holidays you'll get awarded depends on your age and years of service.;Dependency
The final grade consists of homework assignments and a written final exam.;Dependency
To calculate the auto premium we first need to calculate the car style premium and the rating.;Dependency
Deciding on your future job depends on your goals, your university degree and your field of interest.;Dependency
Fraud inspection is assessed from the deviation of the operation route and the truck compliance.;Dependency
To check for deviation of the operation route one should consider the GPS Location and the present operation route.;Dependency
"To determine if someone suffers from Autism, the follow criteria are considered: problems in the field of social communication and social interaction; Limited, repetitive behavioral patterns, interests, or activities; and Hypersensitivity or hypersensitivity to sensory stimuli.";Dependency
The sexual activity level of a person is assessed by the number of panda points, your gender and your relationship status.;Dependency
"The ""Per Item"" cost depends on the specifications of the purchased items, such as quantity of items, the weight, or volume (referred to as the dimensional weight) of each package.";Dependency
Exact shipping charges are calculated at the time of checkout based on the number of items, item type, weight, and volume of all the items in the cart.;Dependency
The GDP calculation includes the wages paid to labor, the rent earned by land, the return on capital in the form of interest, and the entrepreneur’s profits.;Dependency
The lender may also request credit reports from credit agencies to assess the credit health of the borrower.;Dependency
The season will determine the dinner we have.;Dependency
The season will determine the dinner of tonight. ;Dependency
According to whether the account holder is a rewards member or not the price is made.;Dependency
In most cases, the bank may require the borrower to provide a feasibility report of the project they are about to undertake to evaluate the risk.;Dependency
The product to be manufactured defines the supplier of raw materials. ;Dependency
The overall quality of life influences the person's health status. ;Dependency
Moreover, age determines the driver premium.;Dependency
GDP is an important statistic that indicates whether an economy is growing or contracting.;Dependency
And lenders frequently review borrowers' scores, especially when deciding whether to change an interest rate or credit limit on a credit card. ;Dependency
Your final grade will determine if you pass the exam or not. ;Dependency
Next, your personal history is taken into account when calculating your panda points.;Dependency
Tracking GDP over time helps a government make decisions such as whether to stimulate the economy by pumping more cash into it or to cool it by pulling money out.;Dependency
Businesses may use GDP as a factor when deciding whether to expand or contract production or whether to undertake major projects.;Dependency
Investors watch GDP to get a sense of where the economy may be headed in the weeks ahead.;Dependency
Sleep deprivation causes you to feel more impatient or prone to mood swings.;Dependency
A lack of sleep can also compromise decision-making processes and creativity.;Dependency
The total number of credit points you have completed assists the University in calculating your course progress and completion.;Dependency
The person’s health status and the quality of life define the overall quality of life. ;Dependency
The cabin seat status and the flight history define the chance that a passenger is upgraded.;Dependency
Your customer profile and the time of the year define your movie recommendation.;Dependency
Based on your function and your senior level, the company can determine the amount of vacation days you will get awarded.;Dependency
Your age and insurance information are required for a car rental. ;Dependency
After taking a medical history and performing a physical examination, the doctor may have some ideas as to what may be causing a person’s symptoms.;Dependency
The eligibility and application risk influence the routing of an application.;Dependency
We take into account the number of flights of a customer and the degree to which the economy cabin is overbooked, in order to determine which passengers are eligible to be upgraded to Business or First class.;Dependency
The salary of the client, whether the client is a homeowner, and whether the client is employed will calculate the financial risk. ;Dependency
The size, environment, and origin of a plant define how much water the plant needs.;Dependency
Physical and psychological tests define the health condition. ;Dependency
The unit price, the number of units purchased, and the discount policy influence the total price.;Dependency
The availability of the requested car group (AsRequested), and if an update group is available (Upgrade) define the availability of a vehicle.;Dependency
Calculate your target heart rate and estimated maximum heart rate to determine if your heart rate is within the target zone during physical activity.;Dependency
A person's age and physical condition influence your actual heart rate. ;Dependency
The shipping method, the supplier and the order amount will determine the shipping costs of Amazon to Belgium.;Dependency
The base premium and the auto premium determine the car premium.;Dependency
Your university grade, previous work experience and case solving skills are considered by consultancy firms to assess if you get the job.;Dependency
Age, history of incidents and profession determine the kind of auto insurance you get.;Dependency
The dinner and the drinks depend on the guests and the weather. ;Dependency
The risk assessment requires a credit history check on the applicant, which is performed by a financial officer.;Dependency
The employee bonus is assessed from a scoring, which is given by the sales department.;Dependency
The differential diagnosis made by a doctor is based on the patient’s full medical history, which is accessable from the database. ;Dependency
The employee bonus is assessed from a scoring, which is based on the working hours and profit.;Dependency
To assess whether an employee gets a bonus, the HR department gives a score, depending on the working hours and performance.;Dependency
Furthermore, the meal we have is influenced by the weather which is determined by the season.;Dependency
The customer's discount depends on the customer status and this depends on order amount.;Dependency
The bonus is determined by a score, which takes into account your commissions and hours worked.;Dependency
Your course study load is measured by credit points, which is determined by the number of contact hours, assessments, and hours for personal study related to the course.;Dependency
Whether you get a discount depends on the total amount of points earned, which is determined by the amount of money you have spend on products.;Dependency
Figuring out your total daily energy expenditure begins with calculating your BMR, which is determined by the number of calories your body uses to maintain vital functions.;Dependency
A credit check is based on credit history, which includes the number of open accounts, total levels of debt, and repayment history, and other factors. ;Dependency
Perceived exertion is based on the physical sensations a person experiences during physical activity, including increased heart rate, increased respiration or breathing rate, increased sweating, and muscle fatigue. ;Dependency
The scoring determines the employee bonus, which determines the monthly enumeration.;Dependency
The season will determine the dinner of tonight, which determines the drinks.;Dependency
The weather determines the sport we play today, which determines the burned calories. ;Dependency
The overall quality of life influences the person's health status, which defines a person's happiness. ;Dependency
scoring, which is based on the working hours and profit.;Dependency
score depending on the working hours and performance.;Dependency
weather which is determined by the season. ;Dependency
customer status and this depends on order amount.;Dependency
score, which takes into account your commisions and hours worked. ;Dependency
credit points, which is determined by the number of contact hours, assessments, and hours for personal study related to the course.;Dependency
total amount of points earned, which is determined by the amount of money you have spend on products.;Dependency
BMR, which is determined by the number of calories your body uses to maintain vital functions. ;Dependency
credit history, which includes the number of open accounts, total levels of debt, repayment history, and other factors.;Dependency
physical sensations a person experiences during physical activity, including increased heart rate, increased respiration or breathing rate, increased sweating, and muscle fatigue.;Dependency
employee bonus, which determines the monthly enumeration.;Dependency
dinner of tonight, which determines the drinks.;Dependency
leptin and ghrelin, which control feelings of hunger and fullness.;Dependency
sport we play today, which determines the burned calories. ;Dependency
person's health status, which defines a person's happiness. ;Dependency
The employee bonus is assessed from a scoring and this scoring is calculated from the employee's working hours and personal profit.;Dependency
The weather is determined by the season and the movie recommendation is determined by the period of the year.;Dependency
The dinner is influenced by the season and the drinks are determined by the guests.;Dependency
Your age determines your ability to drive a car and on the other side your insurance will define your coverage in case of an accident.;Dependency
This will depend on the individual employer, the type of role, and your relevant skills and experience.;Dependency
It includes the wages paid to labor, the rent earned by land, the return on capital in the form of interest, and the entrepreneur’s profits.;Dependency
It is an important statistic that indicates whether an economy is growing or contracting.;Dependency
This is an important statistic that indicates whether an economy is growing or contracting.;Dependency
Businesses may use it as a factor when deciding whether to expand or contract production or whether to undertake major projects.;Dependency
It is based on the physical sensation. ;Dependency
It also negatively affects your mental abilities and emotional state.;Dependency
It can also compromise decision-making processes and creativity.;Dependency
It plays a key role in a lender's decision to offer you credit.;Dependency
This includes the wages paid to labor, the rent earned by land, the return on capital in the form of interest, and the entrepreneur’s profits.;Dependency
All of these factors are taken into account when measuring your health level.;Dependency
What jobs am I eligible for, this will depend on the individual employer, the type of role, and your relevant skills and experience.;Dependency
The GDP calculation accounts for spending on both exports and imports, this calculation includes all of the factors of production that make up an economy.;Dependency
The GDP calculation includes all of the factors of production that make up an economy, it includes the wages paid to labor, the rent earned by land, the return on capital in the form of interest, and the entrepreneur’s profits.;Dependency
Perceived exertion is how hard you feel like your body is working, it is based on the physical sensations a person experiences during physical activity.;Dependency
Sleep deprivation leaves your brain exhausted, so it can’t perform its duties as well, it also negatively affects your mental abilities and emotional state.;Dependency
Your credit history is captured throughout the years, it plays a key role in a lender's decision to offer you credit.;Dependency
Life expectancy is defined as the average number of years a population of a certain age would be expected to live, given a set of age-specific death rates in a given year.;Dependency
"The total shipping cost is calculated by adding a base ""Per Shipment"" cost and various ""Per Item"" costs.";Dependency
The period in which a person will get vaccinated depends on the number of available doses and the person’s assigned group.;Dependency
The person’s assigned group is divided into three groups depending on their vulnerability, exposure, medical risks and age. ;Dependency
If you are a resident or employee in a residential care centre or if you work in a first line care occupation then you belong to the most vulnerable and exposed people and you will be vaccinated first.;Conditional
Moving on to the second group, if you are older than 65, or if you are between 45 and 65 with an increased medical risk due to healthcare issues, you will get vaccinated next.;Conditional
The last group to be vaccinated, the third group consists of the broader population of people above the age of 18.;Conditional
Eligibility for smallpox vaccine is dependent on risk and outbreak.;Dependency
If you are at risk or there is an outbreak then you are eligible for a smallpoxvaccine. ;Conditional
Risk is determined from the contact with a similar virus, being labworker orsmallpox virus exposure.;Dependency
You are at risk if you are in contact with a similar virus and you are a labworker. You are also at risk if there is smallpox virus exposure.;Conditional
Your credit score, your home location, and your down payment are all factors that affect the mortgage interest rate.;Dependency
Your credit score equals your outstanding credit divided by (amounts owned * payment history percentage).;Conditional
If your credit score is high, your mortgage interest rate is lower, except if your credit score looks bad.;Conditional
The mortgage interest rate is significantly different depending on the loan type you choose.;Dependency
